Ano;2016;2017;2018;2019;2020
Receita Líq;6451578;7444305;8426541;9588437;7537180
Var Receita Liq;0.049856815;0.153873517;0.131944621;0.137885284;-0.213930279
Lucro Bruto;3876495;4499392;5142024;5857916;4313610
Total despesas;2900805;3412154;3718203;4214262;3456731
EBIT;975690;1087238;1423821;1643654;856879
Mg EBIT;0.151232768;0.146049631;0.16896862;0.171420431;0.113686949
Deprec e Amort;311261;329051;314574;730091;791036
Capex;477194;550363;610407;751428;543976
Var Invest. Capex;0.164740107;0.153331769;0.109098904;0.231027822;0.276077016
Capital de Giro;1164;2666;3247;3869;3789
Necessidade de Capital de Giro;21;-1502;363;-622;80
