Ano;2017;2018;2019;2020;2021
Receita Líq;7444305;8426541;9588437;7537180;10571566
Var Receita Liq;0.153873517;0.131944621;0.137885284;-0.213930279;0.402589032
Lucro Bruto;4499392;5142024;5857916;4313610;6172388
Total despesas;-3412154;-3718203;-4214262;-3456731;-5358444
EBIT;1087238;1423821;1643654;856879;813944
Mg EBIT;0.146049631;0.16896862;0.171420431;0.113686949;0.076993702
Deprec e Amort;329051;314574;730091;791036;916070
Capex;-550363;-610407;-751428;-543976;-933963
Var Invest. Capex;0.153331769;0.109098904;0.231027822;-0.276077016;0.716919496
Capital de Giro;2666;3247;3869;3789;5261
Var Cap Giro;-1502;363;-622;80;-1472
