Ano;2015;2016;2017;2018;2019
Receita Líq;6145198;6451578;7444305;8426541;9588437
Var Receita Liq;0.177958603;0.049856815;0.153873517;0.131944621;0.137885284
Lucro Bruto;3633846;3876495;4499392;5142024;5857916
Total despesas;2700593;2900805;3412154;3718203;4214262
EBIT;933253;975690;1087238;1423821;1643654
Mg EBIT;0.151867035;0.151232768;0.146049631;0.16896862;0.171420431
Deprec e Amort;264780;311261;329051;314574;730091
Capex;571312;477194;550363;610407;751428
Var Invest. Capex;0.196302074;0.164740107;0.153331769;0.109098904;0.231027822
Capital de Giro;1185;1164;2666;3247;3869
Var Cap Giro;846;21;-1502;363;-622
